,User_Name,User_Screen_Name,Text,ID,Retweet_Count,Favorite_Count,User_ID,Language,Date,Sentiment
2544,Nítìsh_ÅkHØlíÇ❤,Nitish_AkHolic,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316036393496582,3435,0,1229031114682949632,en,20,0.5994
2545,Senju | 🌈Matrix,1stKonohaHokage,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316031901405185,3435,0,1056766513179324417,en,20,0.5994
2546,louise💗,louisemclatchey,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316031435919361,3435,0,563058113,en,20,0.5994
2547,britt,brittlegendo,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316024372752393,3435,0,173253967,en,20,0.5994
2548,carla🍌,hazzavalentine,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316023554805768,3435,0,1251369627919228928,en,20,0.5994
2549,spøøky jess,wessjargo,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316021239578629,3435,0,64441041,en,20,0.5994
2550,mila ✞,girljdbieber,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316012905488386,3435,0,2867987603,en,20,0.5994
2551,Ꮪаchi,1MU1MU3,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373316011303137282,3435,0,1620303145,en,20,0.5994
2552,ana,lovatorns,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315990105300995,3435,0,61103189,en,20,0.5994
2553,🤘🌹★·.·´¯`·.·★ 乃eitａcv ★·.·´¯`·.·★🌹🤘,Labea84Cv,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315985483137026,3435,0,631346931,en,20,0.5994
2554,Tabea 💜,BieberTabea,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315983193075714,3435,0,3110954585,en,20,0.5994
2555,Yashwanth Kosuru,YashwanthKosuru,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315982442172422,3435,0,889703371031982080,en,20,0.5994
2556,Pame Carrillo,PamedeJB,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315977589428228,3435,0,1601732364,en,20,0.5994
2557,Brittany💔,ayeeitsbritt,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315971872612356,3435,0,153917568,en,20,0.5994
2558,‏ ✞ ؘ,drwnder,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315970878603267,3435,0,1253802454329823232,en,20,0.5994
2559,Per,PerFalabella,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315967644803073,3435,0,1262843146565713922,en,20,0.5994
2560,lele⁹¹ vivi bday!,paynohabit,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315966164172808,3435,0,1263251276869054468,en,20,0.5994
2561,Kristi lynn,Kristi123Lynn,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315964775849987,3435,0,4893800559,en,20,0.5994
2562,ᅠᅠ ᅠᅠᅠ,stilinskivadio,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315962162778116,3435,0,537592655,en,20,0.5994
2563,Cam*/61%,iam_camilla98,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315960141139977,3435,0,3294977400,en,20,0.5994
2564,Celine,_itsceline_,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315960048910341,3435,0,2546735539,en,20,0.5994
2565,DaiyanPhD,DaiyanulH,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315958161305600,3435,0,1288332071585251328,en,20,0.5994
2566,Sister Liyah and Girlie,sister_liyah,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315955971985410,3435,0,1339793231232593922,en,20,0.5994
2567,Lea Biebs,EhlersLea,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315954529218566,3435,0,1883352468,en,20,0.5994
2568,júlia /unstable,changesflatline,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315950917906434,3435,0,1302036392571219973,en,20,0.5994
2569,*•Danna•*,dannamejia03,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315950217412608,3435,0,607591499,en,20,0.5994
2570,Kylie N.K,KylieNK1,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315947084267520,3435,0,1273015435143925760,en,20,0.5994
2571,ussupportjb,ussupportjb,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315943892406276,3435,0,430825952,en,20,0.5994
2572,ane,kidrauh_world,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315942852231178,3435,0,1323030496863989760,en,20,0.5994
2573,dude 🖤,_Powerrangers_,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315941950443523,3435,0,2283030662,en,20,0.5994
2574,Sarah,lwtftchanges,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315941212241924,3435,0,213402133,en,20,0.5994
2575,Breeeeeeeeeeeen ;-;,brendsftjustin,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315940843200515,3435,0,2604507266,en,20,0.5994
2576,jk,jk44492263,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315937055563776,3435,0,1366019976155439104,en,20,0.5994
2577,Nessa,Izzie8_,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315935902199812,3435,0,2503417496,en,20,0.5994
2578,fel,otpjailey,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315932882415620,3435,0,2323023811,en,20,0.5994
2579,Marisol Virgen Maldonado,marisolvirgenm,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315932529913926,3435,0,4909236673,en,20,0.5994
2580,Nataliaoliveira,Nataliaoliv7,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315932009943047,3435,0,771153334854180865,en,20,0.5994
2581,🐯,rezzzpn,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315929677864964,3435,0,1453990458,en,20,0.5994
2582,en⁷🐋|rest jajan,jamanfltr,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315925269647362,3435,0,1269781652147810305,en,20,0.5994
